;pval;padj;log2err;ES;NES;size;leadingEdge
PEG10;1,26E-08;1,74E-05;0,747739663;-0,556099058;-2,532025869;58;cg02444961, cg27504782, cg11985632, cg26464535, cg21743410, cg04366249, cg05531533, cg07236943, cg13797824, cg23096644, cg14388858, cg03209103, cg21853542, cg08607907, cg26179590, cg18484166, cg19734015, cg09890341, cg04521244, cg02965180, cg16492735, cg08291000, cg26503018, cg19924104, cg06695761, cg09512080, cg18898992, cg05277165, cg05096321, cg23690528, cg22331138, cg27230044, cg14873490
KLF14;2,19E-08;2,76E-05;0,733761988;-0,837916471;-2,678733622;15;cg17317023, cg02778245, cg03914913, cg18645297, cg06038655, cg09529138, cg08719712, cg06533629
FILIP1L;2,82E-08;3,28E-05;0,733761988;0,613029829;2,407440459;48;cg14394740, cg21792806, cg23221889, cg14645252, cg20276377, cg21174202, cg08883172, cg27479401, cg16318181, cg15055095, cg00432221, cg13132965, cg10561392, cg04521697, cg09957895, cg19533955, cg13219301, cg08857713, cg01932663, cg16347595, cg00419381, cg16443146, cg21445764, cg12818658, cg15827559, cg17241937, cg00015159, cg07600990
ARID5B;3,51E-08;3,78E-05;0,719512826;-0,719257595;-2,721430862;26;cg16253809, cg25961903, cg10682219, cg05100313, cg05882781, cg06062519, cg24887381, cg15831769, cg26002628, cg06566772, cg10708548, cg05976652, cg19238103, cg17702449, cg16013454, cg22846816, cg06456847
ZEB2;3,75E-08;3,78E-05;0,719512826;-0,689225523;-2,715141887;30;cg24488281, cg15377518, cg14022841, cg00573770, cg19190728, cg22960357, cg05322294, cg19123296, cg01497214, cg03625547, cg16267679, cg23639412, cg19101754, cg13511862, cg09670616, cg10369145, cg26522240, cg04836221, cg00323965, cg19865873, cg13887004, cg17751438
MICAL2;4,55E-08;4,30E-05;0,719512826;-0,684021029;-2,726873064;32;cg03821121, cg17744644, cg04517196, cg13065008, cg24743662, cg21690978, cg03860250, cg11856371, cg24022152, cg13857345, cg13091923, cg00132991, cg22967016, cg10441199, cg27494124, cg12122057, cg26683280, cg16946439, cg25791549
LMO3;5,20E-08;4,38E-05;0,719512826;-0,637888579;-2,615657637;37;cg13572309, cg01181415, cg17981966, cg12784704, cg08217789, cg20576393, cg14120119, cg20060206, cg10143811, cg17736030, cg09526758, cg12210040, cg21016004, cg08042370, cg09683887, cg14632140, cg19140085, cg03745994, cg16961545, cg14905657, cg01787574, cg19704805, cg03829142
FLOT1;5,01E-08;4,38E-05;0,719512826;-0,624334145;-2,584720861;39;cg08794940, cg08457178, cg20178172, cg16493531, cg09235583, cg19033654, cg16331823, cg03124636, cg27545367, cg12232308, cg13804182, cg18650716, cg05902624, cg13337949, cg14433074, cg26755097, cg08384314, cg08687386, cg17389738
TBX5;5,54E-08;4,41E-05;0,719512826;-0,622452394;-2,57693048;39;cg26196480, cg04685570, cg09623338, cg16315058, cg19290410, cg17462200, cg05929882, cg15927882, cg10281002, cg15025170, cg00756451, cg08318726, cg10077319, cg16559598, cg20099830, cg12670347, cg09042277, cg03569640, cg14431443
HIST1H2BI;5,91E-08;4,47E-05;0,719512826;-0,827448154;-2,645267477;15;cg26674751, cg00036011, cg14273822, cg21281951, cg01563704, cg23282585, cg23229820, cg11731890, cg18465515, cg03964941, cg19851715, cg10570941, cg03758514
HOXC5;9,50E-08;6,85E-05;0,704975715;-0,672421698;-2,675107932;31;cg17026220, cg21487207, cg15660418, cg10561239, cg24735790, cg02470595, cg04794183, cg16937769, cg05296643, cg15817960, cg27002522, cg23047434, cg05477933, cg22358580, cg04704531, cg01683044, cg21041775, cg24896860, cg04105511, cg26162108, cg01153660, cg05611263, cg13726459
AGPAT1;1,11E-07;7,61E-05;0,704975715;-0,601207201;-2,551522848;43;cg20980321, cg25733934, cg18191873, cg18928683, cg06570818, cg01466825, cg01074928, cg13529662, cg11043450, cg24828988, cg17455891, cg15124201, cg14771938, cg22261911, cg01052103, cg02260340, cg22673001, cg17188367, cg01719529, cg23464264, cg08049198, cg04528352, cg15982308, cg19730924, cg22767321, cg20008357, cg07482220, cg03199124, cg02525705, cg26340737, cg19007101
RNF5;1,20E-07;7,86E-05;0,690132459;-0,699586768;-2,682216164;27;cg20980321, cg25733934, cg18191873, cg18928683, cg01466825, cg01074928, cg13529662, cg11043450, cg17455891, cg15124201, cg14771938, cg01052103, cg02260340, cg22673001, cg17188367, cg01719529, cg23464264, cg08049198, cg15982308, cg20008357, cg03199124, cg02525705, cg26340737
PI4K2A;1,28E-07;8,04E-05;0,690132459;-0,902847646;-2,479555053;10;cg05994982, cg00997424, cg00059510, cg17001106, cg07301505, cg10987705
PITPNM2;1,36E-07;8,24E-05;0,690132459;-0,667839512;-2,656878538;31;cg14391474, cg20777390, cg05384139, cg05915139, cg06415153, cg12363011, cg24542613, cg08176694, cg23674954, cg13734792, cg16714481, cg23264455, cg19120225, cg21435321, cg27529143, cg02129675, cg15430528
OSBPL5;1,87E-07;0,000108921;0,690132459;-0,607874579;-2,516578853;39;cg08731067, cg24931954, cg06405129, cg10495980, cg21990556, cg18591228, cg15964132, cg03361664, cg23910098, cg04092393, cg04672275, cg09729166, cg01309081, cg25487804, cg23357130, cg08124000, cg25908390, cg03174521, cg18415791, cg13200188
ISCU;1,95E-07;0,000109518;0,690132459;-0,812174134;-2,596437991;15;cg13240898, cg13470919, cg21167558, cg06530240, cg14697323, cg14419151, cg03827423, cg19162598, cg13381718, cg14690343
EHMT2;2,10E-07;0,000111725;0,690132459;-0,667594524;-2,629928514;30;cg03671710, cg16120575, cg23965077, cg06367453, cg02760218, cg05495984, cg11180771, cg00210002, cg23658874, cg09277816, cg00098063, cg25209609, cg02082252, cg25826973, cg11127603, cg16064612, cg12675591, cg04029586
SNORD29;2,14E-07;0,000111725;0,690132459;-0,873930217;-2,469727048;11;cg05512483, cg09345320, cg27033919, cg01382671, cg01537486, cg16663674, cg07611106, cg18637996, cg07297802, cg02905828
PUS10;2,98E-07;0,000150276;0,67496286;-0,733672674;-2,588179753;21;cg13565723, cg22045371, cg01439983, cg26562600, cg13196962, cg09469394, cg08445701, cg00298910, cg08327903, cg17936862, cg17673205, cg02542118, cg24877391, cg11736869, cg07546878, cg02112122, cg00808766, cg19449219, cg07695257
SART3;3,48E-07;0,000169988;0,67496286;-0,800327286;-2,606543886;16;cg13240898, cg13470919, cg21167558, cg06530240, cg14697323, cg14419151, cg03827423, cg19162598, cg13381718, cg14690343, cg03196745, cg05374798
SCAND3;4,26E-07;0,000192543;0,67496286;-0,707344707;-2,59359011;24;cg20897936, cg04664126, cg12319423, cg08334310, cg05879498, cg03640766, cg06535324, cg18109777, cg10875257, cg01027397, cg22867156, cg27136241, cg10600883, cg22302929, cg07160574, cg23534802, cg25049387
HOXB6;4,33E-07;0,000192543;0,67496286;-0,656835521;-2,587544388;30;cg01324550, cg21387752, cg20591728, cg01723934, cg24889708, cg16848873, cg18684142, cg14509967, cg10906729, cg04588674, cg21816532, cg04435975, cg20471691, cg11207533, cg02566861, cg05900563, cg05888755, cg17179862, cg18878432, cg15908709, cg01986016, cg15435170
SNORD58A;4,19E-07;0,000192543;0,67496286;-0,865971493;-2,447235693;11;cg26306636, cg19432393, cg12953599, cg13811525, cg09892332, cg00420193, cg26186956, cg11891983, cg19857457
BRCA1;5,00E-07;0,000216253;0,659444398;-0,726285513;-2,562120039;21;cg25288140, cg06001716, cg24900425, cg18372208, cg26276233, cg25067162, cg09441966, cg01587050, cg04110421, cg17301289, cg19088651, cg12182452, cg04658354, cg15419295, cg08386886, cg21253966, cg19531713, cg20187250, cg09831010
TRIM27;1,11E-06;0,000466726;0,643551836;0,62859158;2,319903105;36;cg10905031, cg19519384, cg14667731, cg09805314, cg18104091, cg03647327, cg11629443, cg14633298, cg26824807, cg11809702, cg00875200, cg21568286, cg09325158, cg00175066, cg06395692, cg03270340, cg19494464, cg27219662, cg20741078, cg23569711, cg16337831, cg16578453, cg25589651, cg13646645, cg09855662, cg27120125, cg13110966
ZDBF2;1,23E-06;0,000504675;0,643551836;-0,786840551;-2,515449107;15;cg22162281, cg05912718, cg07132386, cg00410106, cg12461580, cg20241256, cg17764507
SGCE;1,33E-06;0,000531247;0,643551836;-0,602029766;-2,454701396;36;cg11985632, cg04366249, cg05531533, cg13797824, cg14388858, cg21853542, cg09890341, cg04521244, cg02965180, cg16492735, cg08291000, cg26503018, cg19924104, cg06695761, cg09512080, cg18898992, cg05277165, cg05096321, cg22331138, cg27230044, cg14873490, cg23342787, cg19107595, cg27001184
B3GALT4;1,45E-06;0,000562434;0,643551836;-0,576557865;-2,400201527;40;cg09080120, cg23950233, cg16090881, cg18729787, cg22322679, cg03127244, cg09730719, cg22878489, cg06362282, cg10633838, cg14023774, cg19882268, cg11626629, cg16226644, cg16396284, cg19156220, cg16580935, cg09349343
HIST1H3G;1,55E-06;0,000587462;0,643551836;-0,845202549;-2,473482115;12;cg26674751, cg02481934, cg00036011, cg14273822, cg21281951, cg01563704, cg23282585, cg23229820, cg11731890
OTX2;1,63E-06;0,000600216;0,643551836;-0,648390114;-2,549204946;29;cg22070544, cg02638528, cg23316987, cg03492327, cg17205316, cg25249386, cg10042106, cg27122213, cg13826890, cg26998537, cg20278291, cg13784080, cg19976235, cg13023623, cg23706497, cg18241942, cg06387829, cg23365739, cg16793394
LRRIQ1;1,98E-06;0,000697494;0,62725674;-0,821780353;-2,446091742;13;cg12373573, cg02645710, cg21013725, cg06583108, cg13239252, cg14113610, cg10379050, cg26345971, cg20080079, cg07235075, cg23680282
TSPAN19;1,98E-06;0,000697494;0,62725674;-0,821780353;-2,446091742;13;cg12373573, cg02645710, cg21013725, cg06583108, cg13239252, cg14113610, cg10379050, cg26345971, cg20080079, cg07235075, cg23680282
HIST1H3H;2,09E-06;0,000718422;0,62725674;-0,909592458;-2,358630425;8;cg18943383, cg02202985, cg05070742, cg00247599, cg19832381, cg12539606, cg07178031
GRM1;2,20E-06;0,000734204;0,62725674;-0,700429963;-2,47090932;21;cg08076125, cg08516911, cg03478199, cg13722123, cg19512268, cg26768443, cg25238876, cg09179079, cg17045653, cg26256158, cg21725954, cg01977110, cg17199007
IFNGR2;2,23E-06;0,000734204;0,62725674;-0,845537064;-2,389487991;11;cg10572943, cg08173915, cg22212414, cg11511680, cg11925568, cg24865779, cg17009165, cg17356733
KIAA0513;2,70E-06;0,000868231;0,62725674;-0,653917996;-2,507122059;27;cg19799308, cg13130950, cg26702246, cg12948972, cg00107039, cg19373661, cg03356407, cg07005506, cg02695112, cg03617683, cg27466129, cg16020986, cg14110304, cg00138824
TBR1;2,85E-06;0,000900149;0,62725674;-0,773432922;-2,472586281;15;cg09019329, cg10954251, cg14187678, cg07687349, cg02283775, cg11298735, cg07548213, cg06747888, cg21431041
KIAA0586;3,82E-06;0,001181073;0,610526878;-0,709534677;-2,466049451;20;cg15198441, cg13197705, cg03911515, cg15311812, cg13015872, cg18843373, cg10537269, cg13725062, cg02277509, cg24416753, cg26587113, cg26230522, cg13132016, cg15851086
OSBP2;3,91E-06;0,00118317;0,610526878;-0,561126689;-2,33596178;40;cg21470745, cg05036530, cg18834421, cg05946764, cg05279926, cg15114130, cg10070202, cg18334672, cg13011828, cg01572462, cg03833789, cg04186533, cg17039220, cg13709858, cg05053394
HIST1H2BN;4,32E-06;0,001280643;0,610526878;-0,856464342;-2,35216927;10;cg03639603, cg27131663, cg04987614, cg16662139, cg13671249, cg01130144, cg03833068, cg21109013, cg16914272
PACSIN1;4,69E-06;0,001312202;0,610526878;-0,643999339;-2,469093925;27;cg08880293, cg12245904, cg08959565, cg23801885, cg07583933, cg04941418, cg17518776, cg23239444, cg23043245, cg11466109, cg18866358, cg04866912, cg21903715, cg06623698
GABRB2;4,63E-06;0,001312202;0,610526878;-0,706836251;-2,456670837;20;cg05518567, cg23050361, cg00252615, cg08159065, cg24171764, cg10037414, cg04744597, cg11252048, cg19971650, cg00524310, cg09482986, cg15066954, cg16509658, cg04055989, cg01101742
TPST2;4,71E-06;0,001312202;0,610526878;-0,671112211;-2,40217321;22;cg20682816, cg10811395, cg25355755, cg11244005, cg00502618, cg09790558, cg03800712, cg17133446, cg26332213, cg25635000, cg03667808
CCDC140;4,77E-06;0,001312202;0,610526878;-0,576584531;-2,350951618;36;cg07119829, cg13496838, cg01557550, cg16529477, cg03539789, cg14064356, cg12597169, cg06916239, cg18077971, cg08022524, cg10035294, cg00926215, cg10544031, cg14688579, cg16692317, cg13767755, cg19476053, cg09424526, cg02710571, cg18352427, cg08688313, cg15133719
PPT2;5,29E-06;0,001428315;0,610526878;-0,517284151;-2,265418011;48;cg20328456, cg19048176, cg14130039, cg08045906, cg00110832, cg12626589, cg05133205, cg17229678, cg17161421, cg13934406, cg03784567, cg12738718, cg02956248, cg06025456, cg11386011, cg09714607, cg02460426, cg16481280, cg23359665, cg02429905, cg06264679, cg18049167, cg08509237, cg00403498, cg04264374, cg20914572, cg03570994, cg23470939, cg10551329, cg00552704
PRRT1;5,65E-06;0,001499536;0,610526878;-0,644787168;-2,439659602;26;cg20328456, cg19048176, cg17218813, cg08045906, cg00110832, cg12626589, cg17161421, cg13934406, cg12738718, cg12387154, cg02956248, cg06025456, cg11386011, cg16481280, cg23359665, cg02429905, cg00403498
UFM1;7,20E-06;0,001879449;0,610526878;-0,828347708;-2,340910866;11;cg23156934, cg13452070, cg15004706, cg08983960, cg21721865, cg11149688, cg07350703, cg02655108, cg16863212, cg18352063
MEF2C;7,61E-06;0,001952314;0,610526878;-0,493130276;-2,198104624;53;cg22350898, cg16225168, cg11100228, cg26650655, cg15796366, cg24876729, cg15687929, cg06835212, cg18498987, cg23753855, cg08966485, cg11145593, cg18109838, cg13690989, cg06139199, cg12621171, cg26851891, cg16183386, cg13995101, cg02761345, cg24124703, cg08223748, cg04694437, cg15306924, cg22426944, cg15190401, cg15297153, cg02611097, cg15241530, cg15267384
HAND2;8,20E-06;0,0020025;0,593325476;-0,658450546;-2,356852157;22;cg02774439, cg26101410, cg07681935, cg07969748, cg01580681, cg13935962, cg15195321, cg21530280, cg03905758, cg07410872, cg04825850, cg05536800, cg08905895, cg26650303, cg08328610, cg16919569, cg15707093
KRT222;8,14E-06;0,0020025;0,593325476;-0,939787582;-2,181315922;6;cg15056128, cg10050661, cg12029804, cg23776012, cg01289103, cg24222083
PM20D1;8,16E-06;0,0020025;0,593325476;0,852276527;2,222247052;10;cg12898220, cg14159672, cg07167872, cg05841700, cg14893161, cg11965913, cg24503407, cg08856559
HIST2H2BE;8,40E-06;0,002019047;0,593325476;-0,694493398;-2,413772178;20;cg07015494, cg12397297, cg00458210, cg09169269, cg03597540, cg01081836, cg10214689, cg13454251, cg07180508, cg25125105, cg03086563, cg23098012, cg08169409, cg19376709, cg08908355, cg06776953, cg23343444, cg22350056
SNORD84;8,58E-06;0,002030013;0,593325476;-0,694061918;-2,41227253;20;cg14182431, cg04431990, cg14159895, cg26905324, cg02000145, cg11671290, cg00916439, cg19234301, cg19740491, cg16981259, cg26764200, cg00124488, cg26696685, cg09230467, cg00853714, cg14373189, cg03357730
SGMS1;1,06E-05;0,002467426;0,593325476;0,495522531;2,054510951;63;cg06942169, cg03312268, cg14184975, cg04626916, cg19876232, cg19186275, cg06744228, cg11724726, cg10631515, cg20030642, cg17054013, cg10435258, cg11637084, cg09801012, cg24004665, cg25747854, cg26665667, cg13382516, cg16392084, cg02379317, cg17023593, cg27438343, cg11764846, cg10188795, cg13799263, cg26751045, cg13073851, cg03585110, cg11259254, cg18776286, cg25575732, cg00503269, cg00620035, cg19936605, cg19705067, cg13576994, cg18316445, cg14123712, cg08363235, cg24199987
RNF5P1;1,09E-05;0,00250645;0,593325476;-0,613745998;-2,389504724;28;cg25733934, cg18191873, cg18928683, cg01466825, cg01074928, cg13529662, cg11043450, cg17455891, cg15124201, cg14771938, cg01052103, cg02260340, cg22673001, cg17188367, cg01719529, cg23464264, cg08049198, cg15982308, cg20008357, cg03199124, cg02525705, cg26340737
TMEM194A;1,20E-05;0,002703139;0,593325476;-0,933829848;-2,167487584;6;cg25253716, cg25698102, cg25486647, cg00280991, cg09934365, cg13716933
ST8SIA4;1,33E-05;0,002917152;0,593325476;-0,787751709;-2,344802895;13;cg02318139, cg19088984, cg03975797, cg04380513, cg13320626, cg12665504, cg22965432, cg16673106, cg26872028, cg18428516, cg26337020, cg00405699
NNAT;1,33E-05;0,002917152;0,593325476;-0,55954072;-2,294392791;37;cg17643025, cg00576435, cg03615235, cg25712981, cg18433380, cg11174847, cg26083330, cg14469070, cg16648571, cg23757721, cg25962605, cg23566503, cg23605670, cg20783699, cg03061677
PMEPA1;1,51E-05;0,003261213;0,593325476;-0,507493653;-2,167352441;44;cg26912636, cg01117384, cg02092807, cg23638048, cg12473257, cg02775131, cg15703886, cg06272087, cg18023251, cg14777939, cg20208990
KRTCAP3;1,61E-05;0,003430605;0,575610261;-0,852223232;-2,279842736;9;cg24768116, cg17011495, cg12648201, cg04845466, cg12000995, cg26350635
HIST1H3I;1,72E-05;0,00351933;0,575610261;-0,734690774;-2,392775777;16;cg08782481, cg25479916, cg05990544, cg01310019, cg07991112, cg11992375, cg05511483, cg05071577, cg06005695, cg22919370, cg26074223, cg04355968
POLQ;1,72E-05;0,00351933;0,575610261;-0,814312164;-2,301246413;11;cg26469503, cg12374511, cg22955676, cg20427955, cg05990556, cg21994086, cg07774303, cg02083999, cg01352503, cg17058565
KCNAB2;1,70E-05;0,00351933;0,575610261;-0,498994906;-2,194669455;49;cg05263215, cg11894440, cg13123771, cg02016207, cg00043790, cg07735536, cg19814116, cg24050636, cg23201052, cg04546493, cg16993213, cg06272329, cg12305132, cg17322177, cg08572213, cg11398922, cg20976671, cg03726628, cg01310557, cg09702732, cg20543726
DHX38;1,83E-05;0,003651715;0,575610261;-0,603702353;-2,350401678;28;cg22017032, cg05741182, cg02686533, cg04034891, cg08737499, cg23024175, cg00260883, cg00729269, cg17514851, cg02447078, cg17768253, cg13731007, cg16586261, cg00329943, cg21228284, cg00625177, cg16953064, cg23266305, cg01804696
TXNL4B;1,83E-05;0,003651715;0,575610261;-0,603702353;-2,350401678;28;cg22017032, cg05741182, cg02686533, cg04034891, cg08737499, cg23024175, cg00260883, cg00729269, cg17514851, cg02447078, cg17768253, cg13731007, cg16586261, cg00329943, cg21228284, cg00625177, cg16953064, cg23266305, cg01804696
BLCAP;1,92E-05;0,003772883;0,575610261;-0,399351009;-1,96280265;86;cg17643025, cg00576435, cg03615235, cg25712981, cg01604401, cg18433380, cg11174847, cg23805857, cg18244708, cg20703564, cg11252765, cg06198069, cg26083330, cg14469070, cg24568194, cg09993814, cg16648571, cg23757721, cg09638930, cg19837275, cg25962605, cg23566503, cg22582721, cg09667649, cg23605670, cg01082601, cg20783699, cg03061677, cg00216901, cg18259290, cg04847172, cg05865202, cg26203883, cg12862537, cg17271585, cg18187587, cg15473473, cg02410524, cg16107740
LTB4R;2,02E-05;0,00380358;0,575610261;-0,708866434;-2,40879294;18;cg13840968, cg26310551, cg21886367, cg24838203, cg25576711, cg06823034, cg15545541, cg10193721, cg15364618, cg07509935, cg08894850, cg26915907, cg20542800, cg20007021
MESTIT1;2,03E-05;0,00380358;0,575610261;-0,610879144;-2,401727141;29;cg04678950, cg22705386, cg14088957, cg01784351, cg21667116, cg06212135, cg05369791, cg06100421, cg23714917, cg22592140, cg13986840, cg20297423, cg03588221, cg17580798, cg23156962, cg16823958, cg13104298, cg17079325, cg09080913, cg25519926, cg12347392, cg04344875
SLITRK1;2,04E-05;0,00380358;0,575610261;-0,664213076;-2,343146877;21;cg08697689, cg17528432, cg07104706, cg08954631, cg18789918, cg04095724, cg18937395, cg25188032, cg20826348, cg01847988, cg02365360, cg19610077, cg18215217, cg10236414, cg22057720
DLGAP4;1,97E-05;0,00380358;0,575610261;-0,479973307;-2,176534432;56;cg05327967, cg24698564, cg12658304, cg00581476, cg11001597, cg01802444, cg11759454, cg20393596, cg17603912, cg17566560, cg22947041, cg14963214, cg03825493, cg17948453, cg19184420, cg12492027, cg19693110, cg27648804, cg16282684, cg07754253, cg10757462, cg12992443, cg22155294
UBE2V1;2,08E-05;0,003840918;0,575610261;-0,739857695;-2,3652497;15;cg24905333, cg01710839, cg26567359, cg09044633, cg22560317, cg09647192, cg22870172, cg23718144, cg14595562, cg05827346
CIDEB;2,21E-05;0,003991146;0,575610261;-0,685347359;-2,354749596;19;cg13840968, cg26310551, cg21886367, cg02698519, cg24838203, cg25576711, cg16000077, cg06823034, cg15545541, cg10193721, cg15364618, cg07509935, cg08894850
ATM;2,22E-05;0,003991146;0,575610261;-0,544917302;-2,221832434;36;cg17420659, cg12106634, cg23389069, cg22678707, cg23275463, cg05637308, cg03569616, cg17114932, cg18042593, cg04826772, cg22837512, cg03165700, cg27599391, cg01756564, cg18391757, cg01800843, cg10610482, cg05033322, cg25918541, cg06081482, cg16693212, cg12848864, cg24030675, cg06053805, cg01991180, cg06750635
LOC100130357;2,26E-05;0,004025302;0,575610261;-0,947419727;-2,079082069;5;cg21559075, cg16160471, cg04423951, cg20345144, cg16465844
BAT1;2,30E-05;0,004046739;0,575610261;-0,610392254;-2,340244336;27;cg14182431, cg04431990, cg14159895, cg02000145, cg03031988, cg11671290, cg00916439, cg19234301, cg19740491, cg16981259, cg26764200, cg00124488, cg26696685, cg09230467, cg21079591, cg00853714, cg14373189, cg24294399, cg24631162, cg03357730, cg27611005, cg17489752
NBR2;2,50E-05;0,004344793;0,575610261;-0,823413681;-2,261399876;10;cg09441966, cg04110421, cg17301289, cg19088651, cg04658354, cg15419295, cg08386886, cg21253966, cg19531713, cg20187250
HNRPA1L-2;2,64E-05;0,004534142;0,575610261;-0,759020267;-2,342662783;14;cg03689456, cg09060496, cg11338003, cg20545544, cg05754589, cg24505978, cg12263485, cg06399839, cg08288469, cg15708001, cg02049941, cg09653879, cg21826008
RPS27A;2,81E-05;0,004732321;0,575610261;-0,674477394;-2,344204816;20;cg08053355, cg15593930, cg09493857, cg25246543, cg23970856, cg20856436, cg22467827, cg14606286, cg13487408, cg04530116, cg14529080, cg16919615, cg14459420, cg24046271, cg25477606
SCAPER;2,80E-05;0,004732321;0,575610261;0,829062809;2,161719024;10;cg20108671, cg19289870, cg05895507, cg21673338, cg00891396, cg15234346, cg05061763, cg18112451, cg22578048, cg26804004
FAM19A2;3,35E-05;0,005081588;0,557332239;-0,600231285;-2,35986411;29;cg15566373, cg09741713, cg20007569, cg26133399, cg24001142, cg14737312, cg01409597, cg07044592, cg06438300, cg22163130, cg15319470, cg00889521, cg05145776, cg00089798
CTXN2;3,25E-05;0,005081588;0,557332239;-0,720692945;-2,347186985;16;cg22946999, cg14798706, cg24495234, cg07635167, cg18042307, cg25445017, cg11439821, cg11300596, cg09141216, cg12556555, cg01721245
COPS5;3,45E-05;0,005081588;0,557332239;-0,718678261;-2,340625466;16;cg01921813, cg13445036, cg05230553, cg06680383, cg21129701, cg10487318, cg15754109, cg26329349, cg10073129
HTR2A;3,23E-05;0,005081588;0,557332239;-0,730123008;-2,334128898;15;cg09361691, cg11514288, cg06020661, cg09394608, cg09798090, cg16188532, cg01192538, cg27068143
EVX2;3,46E-05;0,005081588;0,557332239;-0,793710637;-2,322791225;12;cg14085358, cg07411620, cg21715488, cg24683680, cg11359133, cg08431899, cg01720455
