;pval;padj;log2err;ES;NES;size;leadingEdge
VOPP1;3,42E-07;0,000287159;0,67496286;-0,78761529;-2,258330973;19;cg01166946, cg12590945, cg15502645, cg15582417, cg22676821, cg02835117, cg14956920, cg09331334, cg24794563, cg24726872, cg24335058
TP53AIP1;3,76E-07;0,000293437;0,67496286;-0,807167186;-2,242883985;17;cg13962286, cg24908198, cg27002237, cg10116840, cg09615719, cg17636033, cg19889666, cg03996398, cg21358431, cg09682051, cg01302245, cg09015676
CDKN1C;4,40E-07;0,000293437;0,67496286;0,695956133;2,372515579;27;cg11399776, cg08331513, cg05559445, cg17738133, cg12013041, cg23225147, cg23239078, cg04402633, cg01730944, cg05989775, cg20492951, cg08206623, cg26718354, cg27002185, cg23548479, cg25215340, cg23904595, cg11744767
VARS;4,35E-07;0,000293437;0,67496286;0,792990955;2,419118872;17;cg17184952, cg11247116, cg09366145, cg21963656, cg27165281, cg17385386, cg14723918, cg11394653, cg27065415
RUNX3;4,46E-07;0,000293437;0,67496286;0,671053857;2,437931391;32;cg07996594, cg04250451, cg13106389, cg24019564, cg13305657, cg25882256, cg04221877, cg25470148, cg20695936, cg24006721, cg21406271, cg18087266, cg10993442, cg24842859, cg19270505, cg27095256, cg15014975, cg06377278
HOXA5;3,91E-07;0,000293437;0,67496286;0,67319826;2,445721986;32;cg14013695, cg05774699, cg25307665, cg17569124, cg01323381, cg07049592, cg03368099, cg00969405, cg01748892, cg26023912, cg19643053, cg17432857, cg23936031, cg02646423, cg13694927, cg14882265, cg14058329, cg04863892, cg19759481, cg09207400, cg23454797, cg25390165
PHLDB1;5,64E-07;0,000355602;0,659444398;0,788559438;2,40559997;17;cg27286069, cg03804240, cg04364204, cg20309703, cg04142864, cg06428394, cg05730269, cg27488648, cg17295599, cg08473858, cg26925644, cg06619693
ASCL2;6,10E-07;0,000369097;0,659444398;0,645923201;2,386237806;35;cg19284039, cg11373604, cg26051413, cg09894698, cg15790820, cg05309948, cg22346124, cg12499235, cg13762320, cg11772171, cg06272038, cg21365566, cg24353535, cg01156550, cg18485844, cg07333715, cg06623151, cg13930892
SH3RF3;6,91E-07;0,000402306;0,659444398;0,857040475;2,394482279;12;cg09392940, cg06083965, cg23046629, cg27005794, cg21893842, cg16117910, cg12518410, cg10654819, cg26112874
MEF2C;8,36E-07;0,00045734;0,659444398;-0,59845591;-2,155397836;53;cg06835212, cg15796366, cg06139199, cg24876729, cg26650655, cg15241530, cg15687929, cg11100228, cg24124703, cg04694437, cg11145593, cg22350898, cg16225168, cg15267384, cg08966485, cg23753855, cg14810301, cg02761345, cg26851891, cg14152931, cg02913140, cg13690989, cg13995101, cg16318726, cg25033664, cg02611097, cg18287975, cg12621171, cg07777987, cg07742134, cg18234705, cg15297153
C2orf88;8,49E-07;0,00045734;0,659444398;0,780764371;2,44398227;18;cg14210694, cg02941781, cg11941015, cg06532037, cg02747639, cg17444495, cg21909722, cg15313226, cg04391205, cg11097717, cg11448068, cg22003435, cg13185953, cg04710629
SOCS1;8,76E-07;0,00045734;0,659444398;0,772059693;2,445524194;19;cg06082432, cg27003951, cg01330880, cg03553358, cg12642006, cg03195600, cg27540841, cg11973052, cg05766667
PITPNM2;9,14E-07;0,000461133;0,659444398;-0,688432769;-2,210024231;31;cg05384139, cg12363011, cg27529143, cg16714481, cg21435321, cg02129675, cg24542613, cg14391474, cg02276772, cg05974602, cg20777390, cg16085171, cg06415153, cg05915139, cg08176694
LOC100129697;1,21E-06;0,000591835;0,643551836;-0,909762933;-2,150037691;9;cg05521059, cg04468133, cg12168623, cg27543201, cg16686594, cg24732734, cg24250919, cg11004836, cg24341579
KCNAB2;1,40E-06;0,000643271;0,643551836;-0,607296561;-2,17274987;49;cg11894440, cg13123771, cg05263215, cg17322177, cg11398922, cg00043790, cg06272329, cg03726628, cg22912890, cg24050636, cg20543726, cg19814116, cg02016207, cg07922513, cg08572213, cg07402711, cg12305132, cg09702732, cg12604162, cg23201052, cg07735536, cg04546493, cg16495328, cg01310557
LOC100128531;1,39E-06;0,000643271;0,643551836;-0,958306964;-1,973350165;6;cg08410479, cg15008149, cg18162875, cg05181918, cg15069417, cg18995560
PACS2;1,45E-06;0,000643881;0,643551836;0,640418169;2,352197372;34;cg11553068, cg01097031, cg02967392, cg13276896, cg08175981, cg18954339, cg03991849, cg11989683, cg03581459, cg00463356, cg16162970, cg03982541, cg07423421, cg01266790, cg10051299, cg27097962, cg02361546, cg00007226, cg13914744, cg26177915, cg09716042, cg25733327
ACAP3;1,85E-06;0,000776858;0,643551836;0,898382695;2,26637221;9;cg18224588, cg00903892, cg15042692, cg25536368, cg25201327, cg15868629, cg27642349
GGACT;1,98E-06;0,000808361;0,62725674;-0,765619084;-2,195261205;19;cg15389373, cg11429485, cg02785006, cg02266379, cg02781074, cg14732467, cg20343746, cg07603078, cg07861343
PVRL1;2,03E-06;0,000808361;0,62725674;0,935353851;2,186605704;7;cg19524491, cg06391300, cg27101428, cg25050353, cg23406324, cg08358813
SALL3;2,37E-06;0,000921482;0,62725674;0,894785071;2,257296393;9;cg21887618, cg14007067, cg05884032, cg13634602, cg06954658, cg16433156, cg05080154, cg07382554
FOXF1;2,63E-06;0,000993878;0,62725674;0,808017287;2,354330229;14;cg03492747, cg01695533, cg07769121, cg16630791, cg09586080, cg26918279, cg06999379, cg03366439
C5orf38;3,08E-06;0,001136963;0,62725674;0,875445382;2,325100926;10;cg18371475, cg02135861, cg15941948, cg09524455, cg19679633, cg05903444, cg10237977, cg04992127
NNAT;3,50E-06;0,001236242;0,62725674;-0,638044504;-2,149023063;37;cg23757721, cg26083330, cg00576435, cg04489586, cg07360805, cg20601276, cg17643025, cg18433380, cg03615235, cg22551578, cg25712981, cg15473473, cg22378853, cg14469070, cg20479660, cg20783699, cg19782411, cg13790727, cg25962605, cg03061677, cg22421148, cg14765818, cg22298088, cg24564503, cg22510412, cg24675557, cg23605670, cg12862537, cg07156273
ENOX1;3,59E-06;0,001236242;0,62725674;0,632696664;2,313866908;33;cg17987203, cg05963087, cg10201400, cg13644852, cg03344747, cg19446350, cg03611147, cg25987051, cg17055804, cg24797276, cg22334188, cg21225740, cg00509187, cg09438075, cg02600361, cg13578043, cg27407632, cg10434137, cg24098938, cg27572038, cg12243618, cg19191500
MSX1;3,55E-06;0,001236242;0,62725674;0,721908195;2,320935654;21;cg00486340, cg09130381, cg15092343, cg26615830, cg10266211, cg07035659, cg11932640, cg07462756, cg00267751, cg11930592
PPP1R10;4,12E-06;0,001326745;0,610526878;-0,617872325;-2,150904971;42;cg18561902, cg00990221, cg19182468, cg00918762, cg12245402, cg19256656, cg25448947, cg23988749, cg04694022, cg10182531, cg09702881, cg24144175, cg05771767, cg23583454, cg18207141, cg23591342, cg00320625, cg15735240, cg23326824, cg26722322, cg08677140, cg18180874, cg03441461, cg14654951, cg15961920, cg04862321, cg16410241, cg26372792, cg24330922
PAOX;4,00E-06;0,001326745;0,610526878;0,750984158;2,378766751;19;cg09215664, cg14846060, cg23941927, cg23639399, cg17819963, cg05295236, cg19430677, cg06270799, cg13224723, cg02251172, cg27503573, cg14353649
IRX4;4,10E-06;0,001326745;0,610526878;0,760154763;2,379469189;18;cg06895796, cg23121993, cg18009496, cg24937747, cg00264591, cg07882671, cg19955132, cg03963198, cg01307528, cg01946650
MICAL2;4,31E-06;0,001331148;0,610526878;-0,665940715;-2,166111587;32;cg03821121, cg24743662, cg13065008, cg13857345, cg21690978, cg04517196, cg03860250, cg13091923, cg24022152, cg12122057, cg00132991, cg27494124, cg10441199, cg25581781, cg17744644
LOC402778;4,27E-06;0,001331148;0,610526878;0,869477006;2,309249479;10;cg23598212, cg20272155, cg08966208, cg03934392, cg02916272, cg08269485, cg03846408, cg15536116
PTPRB;4,40E-06;0,001331148;0,610526878;0,852743912;2,322562651;11;cg12388583, cg17000356, cg06003296, cg12056977, cg17080277, cg13117031
LRRC8D;4,77E-06;0,001415468;0,610526878;0,611363195;2,276263635;36;cg08158076, cg11075127, cg17256681, cg05847183, cg10208609, cg11335133, cg06825153, cg17718703, cg01860897, cg20714264, cg11839020, cg05703211, cg21838200, cg16277706, cg19927780, cg10101470, cg25854998, cg27442839, cg01827717, cg08479976
GALNT6;5,30E-06;0,001513546;0,610526878;0,707157394;2,287750545;22;cg00203698, cg25360385, cg15495641, cg15127250, cg04182901, cg10590350, cg21253043, cg27015734, cg27522205, cg27051515, cg01777341, cg06302118, cg17204394
IRX2;5,23E-06;0,001513546;0,610526878;0,8667711;2,302062846;10;cg18371475, cg02135861, cg15941948, cg09524455, cg19679633, cg10237977, cg04992127
CCNE1;5,44E-06;0,001525395;0,610526878;0,82680384;2,310004256;12;cg11995300, cg03603808, cg14750501, cg20992284, cg15828085, cg06636316, cg07718463, cg02080510
CPEB2;5,55E-06;0,001527639;0,610526878;0,865965736;2,299923874;10;cg18295838, cg12594467, cg25157709, cg18078087, cg11341307, cg23982315, cg16092991, cg05562327, cg16556399
GPR120;5,67E-06;0,001533345;0,610526878;0,940226587;2,092987327;6;cg16671899, cg00547445, cg01272400, cg00212988, cg25497250
C12orf34;6,12E-06;0,001597343;0,610526878;0,771437694;2,301750036;16;cg11931667, cg19698572, cg22156267, cg16483426, cg07775420, cg15533046, cg22499565
ARFGAP1;6,03E-06;0,001597343;0,610526878;0,771813081;2,302870084;16;cg26538736, cg04480227, cg14199193, cg15561356, cg24368588, cg14071762, cg01175563, cg25195100, cg17050049
FBRSL1;7,05E-06;0,001808666;0,610526878;0,700660123;2,266730988;22;cg11709225, cg24182729, cg07050555, cg25350087, cg08818195, cg19705626, cg19510970, cg08163785, cg19183325, cg23890800, cg00370303, cg00638090, cg16088107
PDGFA;7,81E-06;0,001968814;0,593325476;0,819909028;2,290740864;12;cg08482896, cg04141610, cg08922338, cg03904586, cg26080111, cg12382456, cg14017435, cg26161148
BRI3BP;8,14E-06;0,002020279;0,593325476;0,819323917;2,289106126;12;cg16674926, cg12869820, cg02465715, cg19511862, cg03455874, cg23954819
SPPL2B;8,73E-06;0,002132081;0,593325476;0,818451903;2,286669807;12;cg25228773, cg18169655, cg21721454, cg15492422, cg10975449, cg16209045, cg14813579, cg18595305
MYF5;9,41E-06;0,002261203;0,593325476;0,815416592;2,278189463;12;cg06376520, cg14067873, cg24352768, cg26411128, cg26207503, cg12815941, cg10513852, cg14952949, cg26998717, cg21126707, cg08830379, cg03991307
KCNJ6;9,74E-06;0,002303039;0,593325476;-0,740265241;-2,196918678;21;cg13960711, cg01726808, cg22457886, cg05429781, cg19859481, cg19472312, cg09695260, cg20246660, cg01360586, cg12500959, cg07323754
CDK5R1;1,02E-05;0,002373718;0,593325476;0,856089054;2,273692332;10;cg22322863, cg01805124, cg17423366, cg12504804, cg16551665, cg09986651, cg04106785
SCAND3;1,10E-05;0,002423945;0,593325476;-0,701337117;-2,152527243;24;cg20897936, cg04664126, cg08334310, cg05879498, cg22302929, cg06535324, cg12319423, cg18109777, cg23534802, cg03640766, cg01027397, cg22867156, cg07160574, cg00858855, cg27136241, cg10875257
SLC6A12;1,20E-05;0,002423945;0,593325476;-0,786724787;-2,136114108;15;cg07904051, cg00909232, cg11249486, cg14093792, cg02928074, cg00760681, cg27238353, cg02437604, cg15350661, cg06823681
LDLRAD4;1,18E-05;0,002423945;0,593325476;-0,635416122;-2,097675841;34;cg26745882, cg16195615, cg12008112, cg00592936, cg18033728, cg18511326, cg15314327, cg02006119, cg15297642, cg11722704, cg08814944, cg17556976
AURKC;1,10E-05;0,002423945;0,593325476;-0,906421119;-2,078608691;8;cg14370847, cg08268757, cg26332114, cg22711741, cg19603903, cg23371413, cg25802888
C6orf138;1,20E-05;0,002423945;0,593325476;0,897874259;2,169412601;8;cg24035447, cg09816507, cg27250236, cg00457913, cg20116804, cg01612730, cg23618440, cg21292008
MIR124-3;1,18E-05;0,002423945;0,593325476;0,897942288;2,169576972;8;cg02650317, cg19267861, cg18627360, cg02065637, cg03387135, cg01052879, cg15699267
SYNM;1,19E-05;0,002423945;0,593325476;0,874170544;2,205291618;9;cg10637512, cg09948076, cg27569300, cg08892705, cg02015876
PLD5;1,17E-05;0,002423945;0,593325476;0,704527389;2,265056344;21;cg19205994, cg02567839, cg00349573, cg11167845, cg00812833, cg11726474, cg21982579, cg01062234, cg18220921, cg01426917, cg07137606, cg22679728, cg08659667
DSP;1,18E-05;0,002423945;0,593325476;0,85349238;2,266795809;10;cg02365862, cg04616797, cg04762615, cg13923094, cg13855473, cg13469471, cg20448717, cg25147604
SAMD11;1,19E-05;0,002423945;0,593325476;0,836659432;2,278754409;11;cg25215298, cg04839849, cg03735847, cg03180780, cg16352085, cg04531633, cg27009105, cg14324200, cg05527507, cg04672450
FHL2;1,26E-05;0,002440127;0,593325476;-0,665348692;-2,127163833;29;cg06729997, cg02231204, cg06901280, cg14019044, cg09565706, cg06639320, cg03674282, cg16643314, cg03136099, cg17268658, cg01928691, cg23367358, cg22454769
PLXNB2;1,26E-05;0,002440127;0,593325476;-0,79881721;-2,122211636;14;cg14043316, cg07143259, cg17939585, cg00113911, cg15058033, cg19553402, cg20976026, cg15269226, cg03149749, cg10807542
PFKFB3;1,23E-05;0,002440127;0,593325476;0,690118232;2,242382557;23;cg14348658, cg06002198, cg00510604, cg27199172, cg02572278, cg25371538, cg26464252, cg10405605, cg14405996, cg14830402, cg10923346, cg13874629, cg03889890, cg02238991
LINC00898;1,36E-05;0,002602269;0,593325476;-0,957192344;-1,882922391;5;cg08052470, cg10088359, cg05273980, cg25542694, cg10469399
ITPK1;1,42E-05;0,002691342;0,593325476;0,833497259;2,270141807;11;cg03214094, cg24603921, cg22988483, cg00889057, cg19605749, cg16628119, cg22967233, cg10527288
TMEM216;1,51E-05;0,002752947;0,593325476;-0,784802284;-2,13089413;15;cg06956048, cg16316624, cg17322667, cg17379860, cg14136535, cg20208600, cg05042743, cg10489124, cg21116783, cg10968849, cg02976459
ASPG;1,50E-05;0,002752947;0,593325476;0,893875476;2,159750882;8;cg00685291, cg07150062, cg25307074, cg03809622, cg10761315, cg26400597
CHD7;1,50E-05;0,002752947;0,593325476;0,646436544;2,203703219;27;cg14041100, cg15339058, cg16143176, cg00234363, cg22648811, cg26223336, cg17555594, cg07228241, cg17691662, cg05074636, cg19763925, cg14270835, cg25586087, cg05575639, cg08684840
MINOS1-NBL1;1,56E-05;0,002816077;0,575610261;-0,697093318;-2,139502278;24;cg19234140, cg14714346, cg10211745, cg03950225, cg14304787, cg25368276, cg17124647, cg09309058, cg14699309, cg24616450, cg18301528, cg15589641, cg08019633, cg15317859
INTU;1,62E-05;0,002850375;0,575610261;-0,865075999;-2,103056896;10;cg27431234, cg15437651, cg13084458, cg21951594, cg19854376, cg24003635, cg24008263, cg11125787, cg22357337, cg11779273
COX7A1;1,61E-05;0,002850375;0,575610261;-0,933104794;-1,921453738;6;cg21695771, cg15176213, cg12942894, cg24335895, cg01990874
THOC4;1,69E-05;0,002947;0,575610261;0,847409271;2,250639641;10;cg02132003, cg08217660, cg23639857, cg02387854, cg05147328, cg14209926, cg23402661, cg18375296
NETO2;1,83E-05;0,003075776;0,575610261;0,865484184;2,183378323;9;cg01122672, cg07869548, cg06364315, cg07973470, cg18299368, cg04660816
RPUSD1;1,82E-05;0,003075776;0,575610261;0,844490204;2,242886871;10;cg20030393, cg24393269, cg01130162, cg04929780, cg03124640, cg12689475, cg27018485, cg02715797
ZBTB1;1,85E-05;0,003076577;0,575610261;0,663464369;2,203122062;25;cg21668988, cg11828669, cg13510114, cg13674574, cg22940211, cg14691012, cg16600432, cg05219996, cg01011425, cg13929276, cg21472783, cg06546248, cg16776006, cg09625325
PPP1R9A;1,90E-05;0,003133641;0,575610261;0,714985944;2,312549257;20;cg04916107, cg19221959, cg19370980, cg27335100, cg12916562, cg10111450, cg04134217, cg16801720, cg11164400, cg09643313
MSH4;1,95E-05;0,003180242;0,575610261;-0,871470583;-2,059541594;9;cg14200364, cg08431884, cg16427752, cg18010781, cg22035229, cg02161115, cg23237611, cg21438018
ATXN7L1;2,03E-05;0,00325362;0,575610261;-0,791713349;-2,103338864;14;cg14917096, cg14989988, cg19303980, cg13641786, cg18527241, cg05803296, cg18664667
SH3D19;2,06E-05;0,00325362;0,575610261;0,748787074;2,234167048;16;cg14096311, cg10072319, cg21509568, cg12556802, cg24706793, cg06457473, cg21986777, cg23179411, cg25114183, cg15764183, cg17946114
GATA5;2,06E-05;0,00325362;0,575610261;0,80383627;2,245835244;12;cg12664464, cg25667841, cg24320612, cg14388488, cg18278265, cg07914822, cg08568720, cg16714055, cg03777459, cg11982072
B4GALNT4;2,12E-05;0,003289141;0,575610261;0,773308743;2,24220734;15;cg21606329, cg19787465, cg21996245, cg18546477, cg10321339, cg10798664, cg23409699, cg18113332, cg20846508, cg10828456
RICTOR;2,13E-05;0,003289141;0,575610261;0,729971816;2,284989228;18;cg26383936, cg03557731, cg16397970, cg09925551, cg25355076, cg06337870, cg27613852, cg22846250, cg19770572, cg18304998, cg05015628, cg21708463, cg19850917, cg11648862, cg04919918
CYGB;2,39E-05;0,003610453;0,575610261;0,82518634;2,247505901;11;cg19249708, cg00958884, cg07781162, cg21301440, cg02396496, cg17299935
ARHGDIB;2,45E-05;0,003671113;0,575610261;-0,814764611;-2,118781922;13;cg16393012, cg20917083, cg07265168, cg00512404, cg07611519, cg15450139, cg25663415, cg09227882, cg06395232
MMP25;2,85E-05;0,004181025;0,575610261;0,884518209;2,137142179;8;cg00456894, cg10620273, cg26942943, cg05608716, cg26927231, cg15712857
ALG12;2,92E-05;0,004198432;0,575610261;0,858233483;2,165086801;9;cg11028609, cg00475109, cg23621893, cg14309743, cg18131530, cg22709217, cg20512270, cg08675176
PDE8A;2,91E-05;0,004198432;0,575610261;0,711588974;2,253981227;19;cg01351037, cg03461725, cg14621522, cg02839273, cg17823892, cg13144857, cg08668411, cg06645081, cg15152666, cg24736834, cg00463844, cg02290623, cg26895220
GPRC5B;2,94E-05;0,004198432;0,575610261;0,707277448;2,287616912;20;cg18577194, cg09141413, cg00748640, cg03780561, cg10638734, cg09795160, cg04379144, cg07840808, cg16021998, cg07106490, cg15650422, cg14726652, cg16589598
CDH2;2,99E-05;0,004222217;0,575610261;0,793511821;2,305133665;13;cg08927443, cg09319843, cg02840109, cg06090660, cg12169536, cg03737308, cg15322562, cg18666853, cg03513978, cg09313439, cg13464915
C20orf29;3,03E-05;0,004243953;0,575610261;0,821401103;2,237196299;11;cg25456386, cg09225139, cg18830052, cg13309628, cg03986384
FBXO39;3,21E-05;0,004427125;0,557332239;0,901393051;2,107214489;7;cg06091013, cg07540103, cg17097923, cg08843809, cg02374745, cg02093112, cg23729107
BCAR1;3,22E-05;0,004427125;0,557332239;0,550843485;2,150821236;43;cg21864256, cg14147394, cg02490847, cg00151810, cg05923587, cg18059928, cg25317305, cg27098574, cg16502726, cg24155383, cg20825645, cg03351003, cg09066997, cg02853019, cg08284564, cg20041967, cg19455016, cg16816806, cg19094438, cg03598338
ABL2;3,28E-05;0,004465585;0,557332239;0,834151802;2,215429046;10;cg04691540, cg04007241, cg02303538, cg27498709, cg05009066, cg14229774, cg10805082, cg12639574, cg25594980
CYTH1;3,31E-05;0,004473323;0,557332239;0,726492105;2,216255748;17;cg13520631, cg12784766, cg25174840, cg20100292, cg04313349, cg12408363, cg03493069, cg27547307, cg01133705, cg14232684, cg22405194, cg27256295, cg23911760, cg26066951
CDH15;3,37E-05;0,004511062;0,557332239;0,949333837;1,980337607;5;cg04645818, cg09428893, cg26511997, cg03443017, cg08839312
ERMN;3,42E-05;0,004537574;0,557332239;0,880280768;2,126903819;8;cg21563471, cg05081953, cg02833117, cg06865331, cg20433238, cg21261382, cg14022550, cg10812717
PPP3CA;3,47E-05;0,004564317;0,557332239;0,790584654;2,296630311;13;cg07809618, cg26753733, cg00302793, cg08450380, cg04806118, cg15425326, cg15008401, cg25433855, cg07751222, cg21135832
SRD5A2;3,60E-05;0,004581419;0,557332239;0,794786648;2,220551538;12;cg17267976, cg06492144, cg11765362, cg13527387, cg22549881, cg18529845, cg26261627, cg08894761, cg00712943, cg19502744
INCA1;3,60E-05;0,004581419;0,557332239;0,764795969;2,228395724;14;cg20941843, cg21952723, cg12100506, cg09578319, cg09307264, cg08001603, cg21557914, cg26182097, cg11725799
KIF1C;3,60E-05;0,004581419;0,557332239;0,764795969;2,228395724;14;cg20941843, cg21952723, cg12100506, cg09578319, cg09307264, cg08001603, cg21557914, cg26182097, cg11725799
CDK10;3,88E-05;0,004887059;0,557332239;0,854283166;2,155121239;9;cg17720107, cg20686010, cg07896412, cg12119029, cg24131525, cg04155793, cg09419978
TTC23;4,01E-05;0,005014368;0,557332239;-0,766182133;-2,080336722;15;cg13401703, cg21416022, cg25385940, cg26163234, cg11640175, cg07732735, cg16052317, cg08096291, cg09146471, cg00826495, cg23600866
FZD7;4,08E-05;0,005056875;0,557332239;0,790341173;2,20813134;12;cg16608617, cg20732105, cg21725226, cg23246885, cg04939408, cg09554202
EXOSC4;4,12E-05;0,005058929;0,557332239;0,829472866;2,20300223;10;cg24028381, cg24051152, cg22046830, cg25672318, cg02005367, cg22328616, cg07869667, cg12025821
SETD1B;4,15E-05;0,005058929;0,557332239;0,789531216;2,205868404;12;cg23375431, cg13553938, cg02813877, cg12230296, cg20978010, cg05410123, cg20698069, cg20594607, cg11343534, cg20535600
APBB2;4,20E-05;0,005090064;0,557332239;0,481584614;2,058094698;62;cg14925343, cg17514720, cg13842258, cg03870448, cg15989892, cg26865481, cg18366597, cg22913249, cg21956384, cg08016336, cg27514091, cg07862526, cg15832405, cg05894734, cg19542542, cg06485940, cg07177691, cg03823998, cg04917391, cg23802782, cg05020685, cg06140237, cg08670693, cg24656517, cg17991991, cg04673478, cg27495108
FBN2;4,30E-05;0,005121275;0,557332239;0,735202535;2,193634658;16;cg04929533, cg06993118, cg13203474, cg17958315, cg14413263, cg23621127, cg12940822, cg10866940
HORMAD2;4,27E-05;0,005121275;0,557332239;0,785384595;2,28152426;13;cg23268208, cg17632937, cg08321518, cg04046669, cg21890667, cg01141459, cg10195901, cg16686158
